"first_name","last_name","email"
"CYNTHIA","YOUNG","CYNTHIA.YOUNG@sakilacustomer.org"
"MARVIN","YEE","MARVIN.YEE@sakilacustomer.org"
"LUIS","YANEZ","LUIS.YANEZ@sakilacustomer.org"
"BRIAN","WYMAN","BRIAN.WYMAN@sakilacustomer.org"
"BRENDA","WRIGHT","BRENDA.WRIGHT@sakilacustomer.org"
"TYLER","WREN","TYLER.WREN@sakilacustomer.org"
"FLORENCE","WOODS","FLORENCE.WOODS@sakilacustomer.org"
"LORI","WOOD","LORI.WOOD@sakilacustomer.org"
"VIRGIL","WOFFORD","VIRGIL.WOFFORD@sakilacustomer.org"
"DARREN","WINDHAM","DARREN.WINDHAM@sakilacustomer.org"
"SUSAN","WILSON","SUSAN.WILSON@sakilacustomer.org"
"BERNICE","WILLIS","BERNICE.WILLIS@sakilacustomer.org"
"GINA","WILLIAMSON","GINA.WILLIAMSON@sakilacustomer.org"
"LINDA","WILLIAMS","LINDA.WILLIAMS@sakilacustomer.org"
"JON","WILES","JON.WILES@sakilacustomer.org"
"ROY","WHITING","ROY.WHITING@sakilacustomer.org"
"BETTY","WHITE","BETTY.WHITE@sakilacustomer.org"
"LUCY","WHEELER","LUCY.WHEELER@sakilacustomer.org"
"FRED","WHEAT","FRED.WHEAT@sakilacustomer.org"
"MITCHELL","WESTMORELAND","MITCHELL.WESTMORELAND@sakilacustomer.org"
"EDNA","WEST","EDNA.WEST@sakilacustomer.org"
"SHEILA","WELLS","SHEILA.WELLS@sakilacustomer.org"
"MARLENE","WELCH","MARLENE.WELCH@sakilacustomer.org"
"RONALD","WEINER","RONALD.WEINER@sakilacustomer.org"
"ETHEL","WEBB","ETHEL.WEBB@sakilacustomer.org"
"YOLANDA","WEAVER","YOLANDA.WEAVER@sakilacustomer.org"
"MIKE","WAY","MIKE.WAY@sakilacustomer.org"
"JAMIE","WAUGH","JAMIE.WAUGH@sakilacustomer.org"
"SHELLY","WATTS","SHELLY.WATTS@sakilacustomer.org"
"THERESA","WATSON","THERESA.WATSON@sakilacustomer.org"
"YVONNE","WATKINS","YVONNE.WATKINS@sakilacustomer.org"
"RUBY","WASHINGTON","RUBY.WASHINGTON@sakilacustomer.org"
"HAZEL","WARREN","HAZEL.WARREN@sakilacustomer.org"
